"first","last","PASSING_ATT","PASSING_CMP","PASSING_YDS","PASSING_TDS","PASSING_INTS","RUSHING_ATT","RUSHING_YDS","RUSHING_TDS","MISC_FL","MISC_FPTS","position","RECEIVING_REC","RECEIVING_YDS","RECEIVING_TDS"
"ryquell","armstead",0,0,0,0,0,45.1,177.9,1.2,0.3,34.3,"RB",9.8,80.4,0.3
"wendell","smallwood",0,0,0,0,0,13.5,160.8,1,0.3,34.1,"RB",11.7,98,0.4
"malcolm","brown",0,0,0,0,0,48.4,198.9,1.5,0.3,34.1,"RB",7.5,50.5,0.2
"cameron","artis-payne",0,0,0,0,0,45.4,203.9,1.5,0.4,33.5,"RB",5.3,41.3,0.1
"brandon","bolden",0,0,0,0,0,15.5,111.3,3.3,1,31.9,"RB",1.9,21.6,0.2
"andre","ellington",0,0,0,0,0,23.9,89.7,0.9,0.6,31.4,"RB",20.1,170.4,0.1
"brian","hill",0,0,0,0,0,37.6,187.6,1.3,0.5,31.2,"RB",6.9,45.9,0.2
"j.d.","mckissic",0,0,0,0,0,28.3,107.9,0.6,0.4,30.7,"RB",13.5,108.2,1
"myles","gaskin",0,0,0,0,0,29.4,141.7,0.8,0.2,30.1,"RB",11.5,90,0.4
"reggie","bonnafon",0,0,0,0,0,0,132.1,0.9,0.2,28.7,"RB",10.3,79.4,0.4
"dexter","williams",0,0,0,0,0,39.1,155.7,1.1,0.3,28.6,"RB",7.5,55.3,0.2
"kyle","juszczyk",0,0,0,0,0,7.2,26.6,0.3,0.8,28.2,"RB",22.3,203.3,0.8
"spencer","ware",0,0,0,0,0,20,116.4,0.9,0.3,27.6,"RB",10,77.4,0.6
"devontae","booker",0,0,0,0,0,32.8,131.5,0.8,1,26.7,"RB",11.5,95.4,0.2
"jordan","wilkins",0,0,0,0,0,42.1,199.7,1.2,2.1,26.5,"RB",4.6,29.4,0.1
"josh","ferguson",0,0,0,0,0,37.6,158.5,1.1,0.6,25.9,"RB",4.4,38.3,0.1
"damarea","crockett",0,0,0,0,0,35.1,145.8,0.9,0,25.4,"RB",6.5,48.8,0.1
"kenneth","dixon",0,0,0,0,0,26.6,120.9,0.9,0,25.3,"RB",6,63.8,0.3
"benny","snell",0,0,0,0,0,36.2,142.3,0.9,0.6,24.8,"RB",6.4,55.3,0.2
"darren","sproles",0,0,0,0,0,25.6,89,0.4,0.4,24.8,"RB",13.4,113.3,0.5
"qadree","ollison",0,0,0,0,0,32.5,128.8,0.9,0.2,22.7,"RB",4.3,34.6,0.2
"alfred","morris",0,0,0,0,0,20,127.7,0.9,0.2,22.7,"RB",5.7,41.8,0.1
"c.j.","prosise",0,0,0,0,0,16.7,58.6,0,0,22.5,"RB",16,116.7,0.8
"thomas","rawls",0,0,0,0,0,18.5,73.4,0.3,0.1,22.4,"RB",12.8,112.5,0.4
"dare","ogunbowale",0,0,0,0,0,24.1,97.8,0.6,0.2,21.9,"RB",9.5,69.8,0.3
"darrel","williams",0,0,0,0,0,24.1,76.7,0.8,0.4,21.3,"RB",6.2,58.5,0.6
"darius","jackson",0,0,0,0,0,30.3,128.5,0.8,1,20.6,"RB",7.3,50.1,0
"ty","johnson",0,0,0,0,0,16.4,68.4,0.5,0.1,19.5,"RB",10,75.9,0.4
"rod","smith",0,0,0,0,0,17.8,95.2,0.8,0.1,18.8,"RB",5.6,38.5,0.2
"travis","homer",0,0,0,0,0,22,100.7,0.6,0,17.2,"RB",3.2,29.3,0.1
"paul","perkins",0,0,0,0,0,23.6,92.6,0.6,0,17.1,"RB",5.2,35.4,0.1
"dwayne","washington",0,0,0,0,0,25.4,105.6,0.6,0.1,16.5,"RB",2.9,20.7,0.1
"trey","edmunds",0,0,0,0,0,16.4,67.6,1.1,0,15.9,"RB",3,21.6,0
"josh","adams",0,0,0,0,0,23.6,85.1,0.6,0,15.4,"RB",3.9,25.4,0.1
"mark","walton",0,0,0,0,0,22.7,91.8,0.4,0.2,15.2,"RB",4.5,31,0.1
"ameer","abdullah",0,0,0,0,0,17,54.1,0.3,0.1,15.1,"RB",7.4,60.6,0.4
"d'onta","foreman",0,0,0,0,0,20,93,0.5,0,15.1,"RB",3.5,27.5,0
"jordan","scarlett",0,0,0,0,0,27.5,75.6,0.5,0.1,14.5,"RB",4.8,34,0.1
"james","develin",0,0,0,0,0,6.1,22.2,1.1,0,14.4,"RB",7.1,46.9,0.2
"trayveon","williams",0,0,0,0,0,13.6,81.4,0.4,0.1,14.4,"RB",4.3,33,0.1
"jeff","wilson",0,0,0,0,0,21.6,78,0.5,0,14.3,"RB",3,25.1,0.1
"anthony","sherman",0,0,0,0,0,6.7,19.5,0.2,0,14.2,"RB",7,71.3,0.7
"justin","davis",0,0,0,0,0,18.2,102.4,0.5,0,13.6,"RB",0.7,4.1,0
"raheem","mostert",0,0,0,0,0,14.8,89,0.5,0,12.6,"RB",1.5,6.3,0
"mike","boone",0,0,0,0,0,19.2,75.4,0.6,0.1,12.5,"RB",2.7,15.7,0
"deandre","washington",0,0,0,0,0,17.6,64.8,0.4,0,12,"RB",3,27.5,0.1
"trenton","cannon",0,0,0,0,0,15.1,57.1,0.3,0.1,12,"RB",5.8,42.3,0.1
"detrez","newsome",0,0,0,0,0,6.9,30.2,0.3,0,11.7,"RB",4.5,49.3,0.4
"alex","armah",0,0,0,0,0,18.4,53.3,0.4,0,11.6,"RB",3.3,28.9,0.2
"samaje","perine",0,0,0,0,0,9.9,44.7,0.4,0,11,"RB",2.4,35.6,0.1
"zach","line",0,0,0,0,0,7.1,32.2,0.4,0.1,10.4,"RB",4.3,33.4,0.3
"tra","carson",0,0,0,0,0,8.6,33.8,0.4,0,10.4,"RB",3.2,27.3,0.4
"john","kelly",0,0,0,0,0,12.1,43.5,0.3,0,9.9,"RB",2.7,28.9,0.2
"bryce","love",0,0,0,0,0,8.1,32.5,0.2,0.1,9.6,"RB",5.3,42.7,0.2
"troymaine","pope",0,0,0,0,0,8.3,29.7,0.2,0,9.6,"RB",4.6,44.2,0.2
"elijhaa","penny",0,0,0,0,0,6.3,24.7,0.2,0.1,8.9,"RB",5.4,44.8,0.2
"patrick","ricard",0,0,0,0,0,7.6,32.7,0.2,0,8.9,"RB",4.2,39.1,0.1
"boston","scott",0,0,0,0,0,7.4,27.5,0.2,0,8.7,"RB",4,39.6,0.2
"tremon","smith",0,0,0,0,0,7.9,29.9,0.2,0,8.6,"RB",4,33.7,0.2
"kenneth","farrow",0,0,0,0,0,7.4,31,0.1,0,8.5,"RB",4.5,41,0.1
"t.j.","logan",0,0,0,0,0,9.6,27.8,0.2,0.1,8.1,"RB",4.9,33.7,0.2
"shaun","wilson",0,0,0,0,0,8.5,37.2,0.3,0,8,"RB",2.9,23.3,0
"cj","ham",0,0,0,0,0,10.9,28,0.2,0,8,"RB",4.4,30.9,0.1
"charcandrick","west",0,0,0,0,0,7.6,23.4,0.1,0,8,"RB",4.1,36.2,0.2
"d.j.","foster",0,0,0,0,0,9.1,35.8,0.1,0,7.9,"RB",5.1,26.4,0.2
"nick","bellore",0,0,0,0,0,9.9,17.3,0.1,0,7.9,"RB",5.8,43.6,0.2
"tyler","ervin",0,0,0,0,0,5.7,25,0.2,0,7.8,"RB",3.6,40.7,0
"david","fluellen",0,0,0,0,0,4.5,35.3,0.2,0.1,7.8,"RB",2.8,23.3,0.1
"andy","janovich",0,0,0,0,0,2.6,9.5,0.1,0,7.2,"RB",5.4,39.9,0.3
"taiwan","jones",0,0,0,0,0,13.3,20.5,0,0,7.1,"RB",3.9,36.2,0.2
"patrick","dimarco",0,0,0,0,0,7.1,21.3,0.1,0,6.6,"RB",3.6,28.2,0.1
"kenjon","barner",0,0,0,0,0,8.3,30.8,0.2,0,6.5,"RB",3.6,23,0
"taquan","mizzell",0,0,0,0,0,7.6,24.7,0.1,0,6.5,"RB",3.5,29.1,0.1
"jeremy","mcnichols",0,0,0,0,0,7.3,27,0.2,0,6.3,"RB",3.3,20.7,0
"jamize","olawale",0,0,0,0,0,6.8,17.8,0.1,0,6.2,"RB",3.8,28.7,0.2
"de'lance","turner",0,0,0,0,0,4.5,18.9,0.2,0,6,"RB",2.2,22.7,0.2
"jonathan","williams",0,0,0,0,0,6.7,20.6,0.2,0,5.8,"RB",3.2,19.2,0.1
"garrett","griffin",0,0,0,0,0,5.1,19,0.2,0,5.8,"RB",2.7,22.5,0.1
"de'angelo","henderson",0,0,0,0,0,5.3,16.1,0.1,0,5.6,"RB",4.1,25.9,0.2
"michael","burton",0,0,0,0,0,7,22.9,0.2,0,5.6,"RB",3.2,23.8,0
"derek","watt",0,0,0,0,0,5.1,15,0.1,0,5.6,"RB",3.7,22.3,0.2
"roosevelt","nix",0,0,0,0,0,4,9.2,0.1,0,5.5,"RB",4.9,33.7,0.1
"brandon","wilds",0,0,0,0,0,6.5,22.4,0.1,0,5.3,"RB",3.9,21.9,0
"nick","bawden",0,0,0,0,0,0,5,0.1,0,5.2,"RB",4.5,27.6,0.2
"ricky","ortiz",0,0,0,0,0,8.8,17.4,0.1,0,5.1,"RB",3.5,19.4,0.1
"tommy","bohanon",0,0,0,0,0,5,8.1,0.1,0,4.8,"RB",3.5,25.3,0.2
"senorise","perry",0,0,0,0,0,3.5,15.9,0.1,0,4.4,"RB",2.3,18.4,0
"keith","smith",0,0,0,0,0,4.8,8,0,0,4,"RB",3.7,24.6,0.1
"gregory","howell",0,0,0,0,0,1.9,7.9,0,0,1.9,"RB",1.2,9.6,0
"dan","vitale",0,0,0,0,0,0,0,0,0,1.9,"RB",2.2,14.9,0.1
"keith","ford",0,0,0,0,0,0,0,0,0,0,"RB",0,0,0
"devante","mays",0,0,0,0,0,0,0,0,0,0,"RB",0,0,0
"mike","weber",0,0,0,0,0,4.1,16.3,0.1,0,0,"RB",0,0,0
"donnel","pumphrey",0,0,0,0,0,0,0,0,0,0,"RB",0,0,0
"elijah","holyfield",0,0,0,0,0,0,0,0,0,0,"RB",0,0,0
"cethan","carter",0,0,0,0,0,0,0,0,0,0,"RB",0,0,0
"khalfani","muhammad",0,0,0,0,0,0,0,0,0,0,"RB",0,0,0
"alex","barnes",0,0,0,0,0,0,0,0,0,0,"RB",0,0,0
"elijah","hood",0,0,0,0,0,0,0,0,0,0,"RB",0,0,0
"akeem","hunt",0,0,0,0,0,0,0,0,0,0,"RB",0,0,0
"karan","higdon",0,0,0,0,0,8,33.2,0.2,0,0,"RB",0,0,0
"roc","thomas",0,0,0,0,0,0,0,0,0,0,"RB",0,0,0
"devine","ozigbo",0,0,0,0,0,0,0,0,0,0,"RB",0,0,0
"shane","smith",0,0,0,0,0,0,0,0,0,0,"RB",0,0,0
"byron","marshall",0,0,0,0,0,0,0,0,0,0,"RB",0,0,0
"david","williams",0,0,0,0,0,0,0,0,0,0,"RB",0,0,0
"marcus","murphy",0,0,0,0,0,0,0,0,0,0,"RB",0,0,0
"malcolm","johnson",0,0,0,0,0,0,0,0,0,0,"RB",0,0,0
"mack","brown",0,0,0,0,0,0,0,0,0,0,"RB",0,0,0
"quinton","flowers",0,0,0,0,0,0,0,0,0,0,"RB",0,0,0
"chandler","cox",0,0,0,0,0,0,0,0,0,0,"RB",0,0,0
"cullen","gillaspia",0,0,0,0,0,0,0,0,0,0,"RB",0,0,0
"bruce","anderson",0,0,0,0,0,0,0,0,0,0,"RB",0,0,0
"bo","scarbrough",0,0,0,0,0,0,0,0,0,0,"RB",0,0,0
"kerwynn","williams",0,0,0,0,0,0,0,0,0,0,"RB",0,0,0
"travis","kelce",0,0,0,0,0,0,0,0,0.6,180.5,"TE",98.7,1252.1,9.4
"george","kittle",0,0,0,0,0,0,0,0,0.4,153.5,"TE",84.5,1156.6,6.4
"zach","ertz",0,0,0,0,0,0,0,0,0.5,138.7,"TE",91.3,968,7.2
"o.j.","howard",0,0,0,0,0,0,0,0,0.5,118.7,"TE",56.7,812.8,6.4
"evan","engram",0,0,0,0,0,0,0,0,0.5,111.4,"TE",67.7,807.4,5.3
"jared","cook",0,0,0,0,0,0,0,0,0.4,111.2,"TE",60.9,764.5,5.9
"hunter","henry",0,0,0,0,0,0,0,0,0.5,106.4,"TE",55.3,705.6,6.1
"vance","mcdonald",0,0,0,0,0,0,0,0,0.5,95.2,"TE",58.5,670.5,4.9
"eric","ebron",0,0,0,0,0,0,0,0,0.4,94,"TE",51.5,582.5,6.1
"david","njoku",0,0,0,0,0,0,0,0,0.4,92.3,"TE",54.1,638.9,4.9
"jordan","reed",0,0,0,0,0,0,0,0,0.5,86,"TE",63.4,641.3,3.8
"delanie","walker",0,0,0,0,0,0,0,0,0.5,85.5,"TE",56.1,620.2,4.1
"mark","andrews",0,0,0,0,0,0,0,0,0.1,85,"TE",46,606.3,4.1
"austin","hooper",0,0,0,0,0,0,0,0,0.4,84.7,"TE",61.4,597.8,4.3
"jimmy","graham",0,0,0,0,0,0,0,0,0.4,79.5,"TE",51.7,556.9,4.1
"greg","olsen",0,0,0,0,0,0,0,0,0.1,79,"TE",45.1,527.9,4.4
"trey","burton",0,0,0,0,0,0,0,0,0.5,77.7,"TE",48.4,527.2,4.3
"kyle","rudolph",0,0,0,0,0,0,0,0,0.4,76.6,"TE",52.6,513.5,4.3
"jack","doyle",0,0,0,0,0,0,0,0,0.8,73.6,"TE",54,506.4,4.1
"noah","fant",0,0,0,0,0,0,0,0,0.6,71.8,"TE",45.9,515,3.6
"t.j.","hockenson",0,0,0,0,0,0,0,0,1.1,70.4,"TE",48.2,506.7,3.7
"tyler","eifert",0,0,0,0,0,0,0,0,0.1,69.1,"TE",42.9,476.9,3.6
"jason","witten",0,0,0,0,0,0,0,0,0.4,64.2,"TE",45.6,446.7,3.4
"chris","herndon",0,0,0,0,0,0,0,0,0.1,62.4,"TE",33.9,416.8,3.5
"dallas","goedert",0,0,0,0,0,0,0,0,0.1,59.5,"TE",34.4,357.2,4
"darren","waller",0,0,0,0,0,0,0,0,0.4,58,"TE",37.5,409.4,3
"will","dissly",0,0,0,0,0,0,0,0,0.1,51.4,"TE",25.1,330.4,3.1
"cameron","brate",0,0,0,0,0,0,0,0,0.4,47.3,"TE",27.5,293.3,3.1
"vernon","davis",0,0,0,0,0,0,0,0,0.1,47,"TE",27.3,344.8,2.1
"mike","gesicki",0,0,0,0,0,0,0,0,0.8,46.9,"TE",35,353.3,2.2
"gerald","everett",0,0,0,0,0,0,0,0,0.1,45.7,"TE",27.7,301,2.6
"geoff","swaim",0,0,0,0,0,0,0,0,0.1,44.8,"TE",32.9,327.8,2
"benjamin","watson",0,0,0,0,0,0,0,0,0.1,44.5,"TE",27.5,317,2.2
"jace","sternberger",0,0,0,0,0,0,0,0,0.6,40.6,"TE",26.9,285.6,2.2
"ian","thomas",0,0,0,0,0,0,0,0,0,38.9,"TE",26.3,267.4,2
"jordan","thomas",0,0,0,0,0,0,0,0,0.1,38.2,"TE",23,252.3,2.2
"ricky","seals-jones",0,0,0,0,0,0,0,0,0,36.8,"TE",23,257.1,1.8
"matt","lacosse",0,0,0,0,0,0,0,0,0.1,35.9,"TE",24.4,268.4,1.5
"josh","oliver",0,0,0,0,0,0,0,0,0.6,35.9,"TE",25.9,280.3,1.5
"hayden","hurst",0,0,0,0,0,0,0,0,0.1,35.7,"TE",20.5,245.9,1.9
"blake","jarwin",0,0,0,0,0,0,0,0,0,34.3,"TE",21.8,233.6,1.8
"tyler","higbee",0,0,0,0,0,0,0,0,0,34.1,"TE",21.2,240,1.7
"c.j.","uzomah",0,0,0,0,0,0,0,0,0,32.8,"TE",23.3,239.9,1.5
"jesse","james",0,0,0,0,0,0,0,0,0,32.3,"TE",21.9,228.1,1.6
"charles","clay",0,0,0,0,0,0,0,0,0.4,32.1,"TE",24.7,237.3,1.5
"irv","smith",0,0,0,0,0,0,0,0,0.6,30.8,"TE",21.2,218.2,1.7
"mo","alie-cox",0,0,0,0,0,0,0,0,0.1,29.9,"TE",14.9,194,1.8
"adam","shaheen",0,0,0,0,0,0,0,0,0,29.8,"TE",19.5,198,1.7
"jeff","heuerman",0,0,0,0,0,0,0,0,0,29.8,"TE",21,204,1.6
"nick","vannett",0,0,0,0,0,0,0,0,0,29.5,"TE",21,202.1,1.6
"tyler","kroft",0,0,0,0,0,0,0,0,0.1,28.1,"TE",19.2,200.5,1.4
"rhett","ellison",0,0,0,0,0,0,0,0,0,26.6,"TE",18.1,191.5,1.2
"dawson","knox",0,0,0,0,0,0,0,0,0.1,26.5,"TE",17.3,200.1,1.1
"jason","croom",0,0,0,0,0,0,0,0,0.7,25.2,"TE",16.7,196.8,1.1
"kahale","warring",0,0,0,0,0,0,0,0,0.5,24.9,"TE",17.3,184.9,1.3
"jonnu","smith",0,0,0,0,0,0,0,0,0,24.7,"TE",16.5,177.8,1.2
"james","o'shaughnessy",0,0,0,0,0,0,0,0,0,24.5,"TE",18.1,181.7,1.1
"jordan","akins",0,0,0,0,0,0,0,0,0,22.7,"TE",14.4,169.9,1
"virgil","green",0,0,0,0,0,0,0,0,0.5,22.5,"TE",15,160.8,1.2
"demetrius","harris",0,0,0,0,0,0,0,0,0,21.2,"TE",11,125.9,1.4
"jacob","hollister",0,0,0,0,0,0,0,0,0.1,20.4,"TE",12.8,141.8,1.1
"drew","sample",0,0,0,0,0,0,0,0,0.5,20.3,"TE",14.5,141.2,1.2
"tanner","hudson",0,0,0,0,0,0,0,0,0,20.2,"TE",12,142,1
"jake","butt",0,0,0,0,0,0,0,0,0.1,19.9,"TE",13,135.2,1.1
"nick","o'leary",0,0,0,0,0,0,0,0,0.1,19.4,"TE",10.8,138.4,0.9
"ed","dickson",0,0,0,0,0,0,0,0,0,18.7,"TE",11.3,122.3,1.1
"jakob","johnson",0,0,0,0,0,0,0,0,0,18.5,"TE",12,125,1
"dwayne","allen",0,0,0,0,0,0,0,0,0,18.3,"TE",14.9,129,0.9
"xavier","grimble",0,0,0,0,0,0,0,0,0.6,17.8,"TE",11.2,131.9,1
"josh","hill",0,0,0,0,0,0,0,0,0.5,17.8,"TE",12.8,127.6,1
"maxx","williams",0,0,0,0,0,0,0,0,0.1,17.7,"TE",14.7,130.7,0.8
"ryan","griffin",0,0,0,0,0,0,0,0,0,17.2,"TE",11.8,124.7,0.8
"logan","paulsen",0,0,0,0,0,0,0,0,0,16.6,"TE",9.7,104.9,1
"levine","toilolo",0,0,0,0,0,0,0,0,0,16,"TE",9.7,112,0.8
"anthony","firkser",0,0,0,0,0,0,0,0,0,16,"TE",9.3,108.7,0.9
"eric","tomlinson",0,0,0,0,0,0,0,0,0,14.2,"TE",10.9,101.1,0.7
"luke","stocker",0,0,0,0,0,0,0,0,0,14.2,"TE",6.9,76,1.1
"foster","moreau",0,0,0,0,0,0,0,0,0,14.1,"TE",9.7,98,0.7
"derek","carrier",0,0,0,0,0,0,0,0,0,14,"TE",8.1,82.1,1
"nick","boyle",0,0,0,0,0,0,0,0,0,13.4,"TE",10.5,100.9,0.6
"robert","tonyan",0,0,0,0,0,0,0,0,0,13.4,"TE",6.5,97.3,0.6
"blake","bell",0,0,0,0,0,0,0,0,0,13.3,"TE",8.5,88.1,0.8
"garrett","celek",0,0,0,0,0,0,0,0,0,13.3,"TE",6.3,80.6,0.9
"zach","gentry",0,0,0,0,0,0,0,0,0,13,"TE",8.6,91.1,0.7
"luke","willson",0,0,0,0,0,0,0,0,0,12.9,"TE",11.7,102.2,0.4
"mycole","pruitt",0,0,0,0,0,0,0,0,0,12.9,"TE",8.1,83.3,0.8
"dan","arnold",0,0,0,0,0,0,0,0,0,12.3,"TE",6.9,77.9,0.7
"marcedes","lewis",0,0,0,0,0,0,0,0,0,12,"TE",6.6,75.6,0.7
"trevon","wesco",0,0,0,0,0,0,0,0,0.1,11.5,"TE",7.5,81.1,0.6
"chris","manhertz",0,0,0,0,0,0,0,0,0,11.4,"TE",5.3,74.4,0.7
"tyler","conklin",0,0,0,0,0,0,0,0,0,11.2,"TE",7.8,80.9,0.5
"stephen","anderson",0,0,0,0,0,0,0,0,0,11.2,"TE",6.1,83.2,0.5
"garrett","griffin",0,0,0,0,0,0,0,0,0,10.9,"TE",6,49,1
"daniel","brown",0,0,0,0,0,0,0,0,0.1,10.6,"TE",6.9,75.6,0.5
"lance","kendricks",0,0,0,0,0,0,0,0,0,10.6,"TE",7.7,73,0.6
"seth","devalve",0,0,0,0,0,0,0,0,0,10.6,"TE",6,74.4,0.5
"kaden","smith",0,0,0,0,0,0,0,0,0,10.5,"TE",6.4,71.6,0.6
"alize","mack",0,0,0,0,0,0,0,0,0,10.3,"TE",6.9,67.1,0.6
"isaac","nauta",0,0,0,0,0,0,0,0,0,9.8,"TE",6.9,65,0.6
"darren","fells",0,0,0,0,0,0,0,0,0,9.6,"TE",5.3,70.4,0.4
"jeremy","sprinkle",0,0,0,0,0,0,0,0,0.1,9.1,"TE",5.9,61.9,0.5
"antony","auclair",0,0,0,0,0,0,0,0,0,9,"TE",7.1,63.6,0.4
"dalton","schultz",0,0,0,0,0,0,0,0,0.1,8.7,"TE",7,72.6,0.3
"durham","smythe",0,0,0,0,0,0,0,0,0.1,8.6,"TE",6,64.5,0.4
"jason","vander",0,0,0,0,0,0,0,0,0,8.4,"TE",2.4,53.3,0.5
"cethan","carter",0,0,0,0,0,0,0,0,0,8.1,"TE",5,47.1,0.6
"richard","rodgers",0,0,0,0,0,0,0,0,0,7.8,"TE",4.9,54.1,0.4
"jordan","franks",0,0,0,0,0,0,0,0,0,7.4,"TE",4.2,49.9,0.4
"caleb","wilson",0,0,0,0,0,0,0,0,0,6.4,"TE",5.3,57.7,0.1
"lee","smith",0,0,0,0,0,0,0,0,0,6.3,"TE",3.5,41.2,0.4
"sean","culkin",0,0,0,0,0,0,0,0,0,6.1,"TE",3.4,39.7,0.4
"deon","yelder",0,0,0,0,0,0,0,0,0,5.9,"TE",3.7,39.3,0.3
"joshua","perkins",0,0,0,0,0,0,0,0,0.1,5.4,"TE",3.5,37.9,0.3
"logan","thomas",0,0,0,0,0,0,0,0,0,5,"TE",2.9,24.7,0.4
"cole","wick",0,0,0,0,0,0,0,0,0,4.9,"TE",3.6,33.2,0.3
"jordan","leggett",0,0,0,0,0,0,0,0,0,4.7,"TE",4.2,29.7,0.3
"david","morgan",0,0,0,0,0,0,0,0,0,4.7,"TE",3.8,36.4,0.2
"scott","simonson",0,0,0,0,0,0,0,0,0,4.7,"TE",3.4,31.2,0.3
"eric","saubert",0,0,0,0,0,0,0,0,0,4.6,"TE",3,28.7,0.3
"jerome","cunningham",0,0,0,0,0,0,0,0,0,4.6,"TE",3,30.6,0.3
"ben","braunecker",0,0,0,0,0,0,0,0,0,4.5,"TE",3.3,33.7,0.2
"tommy","sweeney",0,0,0,0,0,0,0,0,0,4.2,"TE",2.9,33,0.2
"gabe","holmes",0,0,0,0,0,0,0,0,0,4.1,"TE",2.4,24.2,0.3
"ross","dwelley",0,0,0,0,0,0,0,0,0,4,"TE",3.1,26.5,0.2
"ross","travis",0,0,0,0,0,0,0,0,0,3.9,"TE",2.4,19.5,0.3
"ben","koyack",0,0,0,0,0,0,0,0,0,3.9,"TE",2.4,22.4,0.3
"clive","walford",0,0,0,0,0,0,0,0,0,3.9,"TE",2.6,24.1,0.3
"jerell","adams",0,0,0,0,0,0,0,0,0,3.7,"TE",2.8,33,0.1
"rico","gathers",0,0,0,0,0,0,0,0,0,3.3,"TE",2.3,21.3,0.2
"matt","flanagan",0,0,0,0,0,0,0,0,0,3.3,"TE",2,20.4,0.2
"evan","baylis",0,0,0,0,0,0,0,0,0,3.2,"TE",1.3,13.9,0.3
"ryan","izzo",0,0,0,0,0,0,0,0,0,3,"TE",1.8,20.8,0.2
"a.j.","derby",0,0,0,0,0,0,0,0,0,2.9,"TE",2,23.5,0.1
"c.j.","conrad",0,0,0,0,0,0,0,0,0,2.6,"TE",1.8,19.4,0.1
"troy","fumagalli",0,0,0,0,0,0,0,0,0,2.4,"TE",1.8,18.6,0.1
"mason","schreck",0,0,0,0,0,0,0,0,0,2.4,"TE",1.7,18.6,0.1
"ryan","hewitt",0,0,0,0,0,0,0,0,0,2.3,"TE",1.5,17.1,0.1
"will","tye",0,0,0,0,0,0,0,0,0,2,"TE",1.2,12.4,0.1
"johnny","mundt",0,0,0,0,0,0,0,0,0,1.5,"TE",1.2,9.8,0.1
"darrell","daniels",0,0,0,0,0,0,0,0,0,1.5,"TE",1.6,14.8,0
"garrett","dickerson",0,0,0,0,0,0,0,0,0,0,"TE",0,0,0
"donnie","ernsberger",0,0,0,0,0,0,0,0,0,0,"TE",0,0,0
"vince","mayle",0,0,0,0,0,0,0,0,0,0,"TE",0,0,0
"austin","traylor",0,0,0,0,0,0,0,0,0,0,"TE",0,0,0
"bucky","hodges",0,0,0,0,0,0,0,0,0,0,"TE",0,0,0
"alex","ellis",0,0,0,0,0,0,0,0,0,0,"TE",0,0,0
"cole","hikutini",0,0,0,0,0,0,0,0,0,0,"TE",0,0,0
"moritz","bohringer",0,0,0,0,0,0,0,0,0,0,"TE",0,0,0
"temarrick","hemingway",0,0,0,0,0,0,0,0,0,0,"TE",0,0,0
"marcus","lucas",0,0,0,0,0,0,0,0,0,0,"TE",0,0,0
